Region	Country	ISO_code	ADM1	Latitude	Longitude	Year_start	Year_end	Age_start	Age_end	Individuals_surveyed	Number_Positives	Prevalence
Africa	Uganda	UG	Kotido	2.99978	34.088299	1998	2005	8	16	61	0	0
Africa	Uganda	UG	Moyo	3.556	31.9252	2002	2002	5	16	60	40	0.66667
Africa	Uganda	UG	Lira	2.41938	33.072701	2002	2002	5	16	62	25	0.40323
Africa	Uganda	UG	Kotido	3.0085	34.197899	1998	2005	6	16	64	0	0
Africa	Uganda	UG	Arua	3.2084	31.2782	1998	2005	9	15	60	15	0.25
Africa	Uganda	UG	Iganga	0.538817	33.904301	1998	2005	7	13	59	7	0.11864
Africa	Uganda	UG	Bundibugyo	0.676633	30.0688	1998	2005	9	14	59	0	0
Africa	Uganda	UG	Tororo	0.2869	34.033401	2002	2002	5	16	120	10	0.08333
Africa	Uganda	UG	Gulu	2.59318	31.9534	1998	2005	9	13	59	8	0.13559
Africa	Uganda	UG	Tororo	0.264117	33.987801	2002	2002	5	16	122	48	0.39344
Africa	Uganda	UG	Iganga	0.443417	33.481998	2002	2002	5	16	128	4	0.03125
Africa	Uganda	UG	Kitgum	2.83623	32.965099	1998	2005	8	15	58	21	0.36207
Africa	Uganda	UG	Luwero	1.51023	32.4063	1998	2005	7	12	63	0	0
Africa	Uganda	UG	Arua	3.35943	31.242001	1998	2005	9	18	64	6	0.09375
Africa	Uganda	UG	Rukungiri	-0.964733	29.923	2005	2005	5	16	58	2	0.03448
Africa	Uganda	UG	Kisoro	-1.19425	29.6598	2005	2005	5	16	57	0	0
Africa	Uganda	UG	Moyo	3.47785	31.6117	1998	2005	8	14	74	38	0.51351
Africa	Uganda	UG	Luwero	1.47005	32.2603	1998	2005	8	14	62	0	0
Africa	Uganda	UG	Soroti	1.78567	34.124298	1998	2005	7	14	42	1	0.02381
Africa	Uganda	UG	Soroti	1.63333	33.089001	2005	2005	5	16	62	15	0.24194
Africa	Uganda	UG	Masindi	1.87588	32.064201	2002	2002	5	60	132	75	0.56818
Africa	Uganda	UG	Nebbi	2.47737	31.0868	1998	2005	9	12	65	9	0.13846
Africa	Uganda	UG	Iganga	0.48	33.481998	2002	2002	5	16	76	2	0.02632
Africa	Uganda	UG	Masaka	-0.7062	31.7519	2002	2002	5	60	16	1	0.0625
Africa	Uganda	UG	Mpigi	0.2018	32.547298	2002	2002	5	60	15	1	0.067
Africa	Uganda	UG	Iganga	0.355633	33.442402	2002	2002	5	16	116	88	0.75862
Africa	Uganda	UG	Rukungiri	-0.75	29.950001	2002	2002	5	16	93	0	0
Africa	Uganda	UG	Apac	1.98498	32.528	1998	2005	7	13	63	1	0.01587
Africa	Uganda	UG	Mukono	0.15135	32.799801	1998	2005	4	14	52	35	0.67308
Africa	Uganda	UG	Lira	2.41938	33.072701	2002	2002	5	16	62	25	0.40323
Africa	Uganda	UG	Kibaale	1.02597	30.690201	1998	2005	8	16	60	9	0.15
Africa	Uganda	UG	Bundibugyo	0.766217	30.0541	1998	2005	8	13	57	4	0.07018
Africa	Uganda	UG	Luwero	1.50563	32.504398	1998	2005	7	12	58	6	0.10345
Africa	Uganda	UG	Iganga	0.405683	33.4184	1998	2005	9	14	128	8	0.0625
Africa	Uganda	UG	Gulu	2.611	32.164001	1998	2005	7	13	31	3	0.09677
Africa	Uganda	UG	Gulu	2.81513	32.3265	1998	2005	9	14	30	2	0.06667
Africa	Uganda	UG	Moyo	3.47593	31.9011	1998	2005	8	15	59	14	0.23729
Africa	Uganda	UG	Kotido	3.50243	34.139999	1998	2005	5	16	58	0	0
Africa	Uganda	UG	Tororo	0.33377	33.893299	2002	2002	5	60	27	11	0.40741
Africa	Uganda	UG	Iganga	0.31837	33.7285	2002	2002	5	60	61	45	0.73771
Africa	Uganda	UG	Moroto	2.52483	34.637199	1998	2005	7	15	59	2	0.0339
Africa	Uganda	UG	Bundibugyo	0.70895	30.076799	1998	2005	8	13	54	1	0.01852
Africa	Uganda	UG	Bundibugyo	1.0468	30.263201	1998	2005	7	14	60	0	0
Africa	Uganda	UG	Luwero	1.16262	32.465599	1998	2005	8	15	58	0	0
Africa	Uganda	UG	Iganga	0.323433	33.6278	2002	2002	5	16	118	96	0.81356
Africa	Uganda	UG	Kitgum	2.89558	33.082699	1998	2005	10	14	59	2	0.0339
Africa	Uganda	UG	Soroti	2.32558	33.682999	1998	2005	7	14	42	2	0.04762
Africa	Uganda	UG	Kisoro	-1.25956	29.6824	2005	2005	5	16	58	0	0
Africa	Uganda	UG	Rukungiri	-0.550533	29.7889	2005	2005	5	16	59	4	0.0678
Africa	Uganda	UG	Bundibugyo	1.08253	30.292601	1998	2005	7	14	36	0	0
Africa	Uganda	UG	Tororo	0.98985	34.0951	2005	2005	5	16	57	0	0
Africa	Uganda	UG	Moyo	3.56058	31.820601	2002	2002	5	16	58	21	0.36207
Africa	Uganda	UG	Mukono	0.8409	32.957199	1998	2005	8	12	61	0	0
Africa	Uganda	UG	Nebbi	2.46022	31.3671	1998	2005	9	15	62	16	0.25806
Africa	Uganda	UG	Moyo	3.431	31.605101	1998	2005	9	18	59	13	0.22034
Africa	Uganda	UG	Iganga	0.3234	33.712399	2002	2002	5	16	58	51	0.87931
Africa	Uganda	UG	Rukungiri	-0.832217	30.0175	2005	2005	5	16	58	0	0
Africa	Uganda	UG	Jinja	0.451267	33.225601	1998	2005	7	16	114	12	0.10526
Africa	Uganda	UG	Soroti	1.65902	33.5919	2005	2005	5	16	63	7	0.11111
Africa	Uganda	UG	Hoima	1.6794	31.256599	2002	2002	5	60	77	75	0.974
